Region,Office,Reveue,Segment
10.0,11.0,9590.3,0
10.0,11.0,17117.4,0
10.0,11.0,27941.7,1
10.0,11.0,2013.5,0
10.0,11.0,11443.7,0
10.0,11.0,75214.5,3
10.0,11.0,11543.7,0
10.0,11.0,94603.6,3
10.0,11.0,34746.7,1
10.0,11.0,17368.0,0
10.0,11.0,56430.9,2
10.0,11.0,66400.6,2
10.0,11.0,73116.1,2
10.0,11.0,97231.9,3
10.0,11.0,43800.0,1
10.0,11.0,11887.5,0
10.0,11.0,2759.1,0
10.0,11.0,58479.2,2
10.0,11.0,21968.9,0
10.0,11.0,76553.5,3
10.0,11.0,20028.3,0
10.0,11.0,43319.4,1
10.0,11.0,52842.1,2
10.0,11.0,83057.5,3
10.0,11.0,90072.8,3
10.0,11.0,5364.2,0
20.0,21.0,17732.7,0
20.0,21.0,67189.9,2
20.0,21.0,52988.5,2
20.0,21.0,86935.2,3
20.0,21.0,58665.0,2
20.0,21.0,18881.0,0
20.0,21.0,2968.7,0
20.0,21.0,98125.2,3
20.0,21.0,50816.1,2
20.0,21.0,70231.7,2
20.0,21.0,86209.9,3
20.0,21.0,74260.6,2
20.0,21.0,29728.0,1
20.0,21.0,85522.1,3
20.0,21.0,12799.5,0
20.0,21.0,32010.0,1
20.0,21.0,78400.9,3
20.0,21.0,26880.5,1
20.0,21.0,42353.6,1
20.0,21.0,94525.1,3
20.0,21.0,80837.5,3
20.0,21.0,41593.5,1
20.0,21.0,6350.9,0
20.0,21.0,17206.0,0
20.0,21.0,22176.6,0
20.0,21.0,64708.6,2
20.0,21.0,28206.0,1
20.0,21.0,31505.6,1
20.0,21.0,66904.8,2
20.0,21.0,94022.8,3
20.0,21.0,21924.8,0
20.0,21.0,70463.7,2
20.0,21.0,40560.1,1
20.0,21.0,88685.6,3
20.0,21.0,42594.0,1
20.0,21.0,99584.4,3
20.0,21.0,55538.2,2
20.0,21.0,2577.2,0
20.0,21.0,54607.8,2
20.0,21.0,40704.8,1
20.0,21.0,37558.7,1
20.0,21.0,9572.5,0
20.0,21.0,3520.3,0
20.0,21.0,70335.8,2
20.0,21.0,50479.6,2
20.0,21.0,64359.5,2
20.0,21.0,61827.5,2
20.0,21.0,64486.5,2
20.0,21.0,32005.3,1
20.0,21.0,3459.9,0
20.0,21.0,87351.9,3
20.0,21.0,39903.2,1
20.0,21.0,26871.7,1
20.0,21.0,53630.7,2
20.0,21.0,91670.5,3
20.0,21.0,51982.6,2
20.0,21.0,42802.7,1
20.0,21.0,91103.4,3
20.0,21.0,1960.7,0
20.0,21.0,95704.7,3
20.0,21.0,90080.0,3
20.0,21.0,48783.4,1
20.0,21.0,35016.4,1
20.0,21.0,8152.0,0
20.0,21.0,12249.6,0
20.0,21.0,49413.7,1
20.0,21.0,95084.6,3
20.0,21.0,66544.9,2
20.0,21.0,70661.6,2
20.0,21.0,65733.1,2
20.0,21.0,71255.5,2
20.0,21.0,77417.9,3
20.0,21.0,54064.4,2
20.0,21.0,73424.0,2
20.0,21.0,85687.4,3
20.0,21.0,64658.0,2
20.0,21.0,40711.2,1
20.0,21.0,76273.8,3
20.0,21.0,40159.4,1
20.0,21.0,56900.2,2
20.0,21.0,94116.8,3
20.0,21.0,2969.6,0
20.0,21.0,24622.8,0
20.0,21.0,3317.6,0
20.0,21.0,82118.9,3
20.0,21.0,20027.0,0
20.0,21.0,34935.6,1
20.0,21.0,55345.1,2
20.0,21.0,80852.6,3
20.0,21.0,89222.4,3
20.0,21.0,82643.2,3
20.0,21.0,72276.5,2
20.0,21.0,83561.3,3
20.0,21.0,13100.3,0
20.0,21.0,67648.1,2
20.0,21.0,83947.5,3
20.0,21.0,74723.9,2
20.0,21.0,91082.8,3
20.0,21.0,54971.7,2
20.0,21.0,39558.6,1
20.0,21.0,69748.9,2
20.0,21.0,31020.9,1
20.0,21.0,36022.5,1
20.0,21.0,37904.1,1
20.0,21.0,80451.8,3
20.0,21.0,47381.8,1
20.0,21.0,8914.2,0
20.0,21.0,46108.1,1
20.0,21.0,69748.0,2
20.0,21.0,83605.8,3
20.0,21.0,40269.4,1
20.0,21.0,94994.8,3
20.0,21.0,22206.4,0
20.0,21.0,3404.5,0
20.0,21.0,60873.0,2
20.0,21.0,69328.1,2
20.0,21.0,60848.4,2
20.0,21.0,84502.5,3
20.0,21.0,83952.5,3
20.0,21.0,98012.7,3
20.0,21.0,30717.2,1
20.0,21.0,93225.9,3
20.0,21.0,56865.0,2
20.0,21.0,82977.5,3
20.0,21.0,96813.2,3
20.0,21.0,56780.9,2
20.0,21.0,48167.0,1
20.0,21.0,12190.9,0
20.0,21.0,82828.6,3
20.0,21.0,54559.6,2
20.0,21.0,91276.3,3
20.0,21.0,7233.8,0
20.0,21.0,90212.8,3
20.0,21.0,3705.7,0
20.0,21.0,4415.4,0
20.0,21.0,81513.2,3
20.0,21.0,86266.6,3
20.0,21.0,42635.1,1
20.0,21.0,12197.5,0
20.0,21.0,20565.5,0
20.0,21.0,31245.9,1
20.0,21.0,49997.9,1
20.0,21.0,20695.7,0
20.0,21.0,60904.6,2
20.0,21.0,60664.3,2
20.0,21.0,94822.7,3
20.0,21.0,88380.0,3
20.0,21.0,95579.2,3
20.0,21.0,37534.2,1
20.0,21.0,83731.1,3
20.0,21.0,1737.4,0
20.0,21.0,37162.3,1
20.0,21.0,44319.3,1
20.0,21.0,51278.9,2
20.0,21.0,35165.1,1
20.0,21.0,31389.3,1
20.0,21.0,53727.6,2
20.0,21.0,89087.1,3
20.0,21.0,90498.5,3
20.0,21.0,38972.1,1
20.0,21.0,99166.0,3
20.0,21.0,43178.4,1
20.0,21.0,58710.4,2
20.0,21.0,62874.9,2
20.0,21.0,86852.6,3
20.0,21.0,51340.7,2
20.0,21.0,65446.6,2
20.0,21.0,68776.2,2
20.0,21.0,42923.8,1
20.0,21.0,82366.2,3
20.0,21.0,68635.4,2
20.0,21.0,73479.2,2
20.0,21.0,28585.9,1
20.0,21.0,27921.4,1
20.0,21.0,22034.6,0
20.0,21.0,31333.6,1
20.0,21.0,86739.9,3
20.0,21.0,78733.4,3
20.0,21.0,17372.8,0
20.0,21.0,89847.7,3
20.0,21.0,66953.3,2
20.0,21.0,71531.2,2
20.0,21.0,62302.2,2
20.0,21.0,15088.9,0
20.0,21.0,28466.5,1
20.0,21.0,12712.0,0
20.0,21.0,65436.0,2
20.0,21.0,82322.8,3
20.0,21.0,6451.6,0
20.0,21.0,18937.7,0
20.0,21.0,34634.0,1
20.0,21.0,3623.4,0
20.0,21.0,64821.8,2
20.0,21.0,54193.2,2
20.0,21.0,25927.1,1
20.0,21.0,96947.8,3
20.0,21.0,53546.3,2
20.0,21.0,50658.6,2
20.0,21.0,82554.7,3
20.0,21.0,62345.0,2
20.0,21.0,6292.9,0
20.0,21.0,58052.6,2
20.0,21.0,46186.1,1
20.0,21.0,35022.9,1
20.0,21.0,84423.8,3
20.0,21.0,88779.1,3
20.0,21.0,15352.7,0
20.0,21.0,79848.7,3
20.0,21.0,59584.5,2
20.0,21.0,95409.4,3
20.0,21.0,29250.4,1
20.0,21.0,20722.8,0
20.0,21.0,28273.8,1
20.0,21.0,90165.2,3
20.0,21.0,96582.4,3
20.0,21.0,8281.2,0
20.0,21.0,78248.8,3
20.0,21.0,16613.1,0
20.0,21.0,17273.1,0
20.0,21.0,76650.3,3
20.0,21.0,51543.1,2
20.0,21.0,82712.0,3
20.0,21.0,73414.4,2
20.0,21.0,47057.8,1
20.0,21.0,18854.8,0
20.0,21.0,22773.7,0
20.0,21.0,73084.5,2
20.0,21.0,40443.0,1
20.0,21.0,35024.0,1
20.0,21.0,76521.4,3
20.0,21.0,64619.9,2
20.0,21.0,49737.8,1
20.0,21.0,23127.7,0
20.0,21.0,29533.5,1
20.0,21.0,98627.7,3
20.0,21.0,63624.3,2
20.0,21.0,77702.8,3
20.0,21.0,27864.8,1
20.0,21.0,6350.1,0
20.0,21.0,50762.4,2
20.0,21.0,36461.4,1
20.0,21.0,62519.7,2
20.0,21.0,31829.3,1
20.0,21.0,10741.8,0
20.0,21.0,18776.7,0
20.0,21.0,46103.9,1
20.0,21.0,77288.5,3
20.0,21.0,77535.3,3
20.0,21.0,9067.9,0
20.0,21.0,17058.9,0
20.0,21.0,39155.6,1
20.0,21.0,98292.1,3
20.0,21.0,78068.5,3
20.0,21.0,34886.6,1
20.0,21.0,27118.9,1
20.0,21.0,59976.4,2
20.0,21.0,73281.0,2
20.0,21.0,73868.7,2
20.0,21.0,76931.8,3
20.0,21.0,41028.3,1
20.0,21.0,99844.5,3
20.0,21.0,82653.5,3
20.0,21.0,59382.3,2
20.0,21.0,34801.5,1
20.0,21.0,94899.5,3
20.0,21.0,95611.6,3
20.0,21.0,94279.2,3
20.0,21.0,38123.7,1
20.0,21.0,75847.0,3
20.0,21.0,62621.9,2
20.0,21.0,23304.3,0
20.0,21.0,84998.0,3
20.0,21.0,19829.8,0
20.0,21.0,46965.7,1
20.0,21.0,30673.2,1
20.0,21.0,95995.2,3
20.0,21.0,69365.2,2
20.0,21.0,82837.1,3
20.0,21.0,45863.3,1
20.0,21.0,3673.3,0
20.0,21.0,69003.9,2
20.0,21.0,32463.5,1
20.0,21.0,84609.2,3
20.0,21.0,75257.0,3
20.0,21.0,43213.3,1
20.0,21.0,89077.3,3
20.0,21.0,69237.7,2
20.0,21.0,71619.2,2
20.0,21.0,78921.3,3
20.0,21.0,50966.7,2
20.0,21.0,52577.1,2
20.0,21.0,73846.8,2
20.0,21.0,76718.3,3
20.0,21.0,83496.2,3
20.0,21.0,65907.3,2
20.0,21.0,40650.6,1
20.0,21.0,23507.4,0
20.0,21.0,26479.5,1
20.0,21.0,89013.5,3
20.0,21.0,19815.6,0
20.0,21.0,57774.0,2
20.0,21.0,99017.2,3
20.0,21.0,75701.4,3
20.0,21.0,6479.5,0
20.0,21.0,52942.3,2
20.0,21.0,85683.8,3
20.0,21.0,80101.8,3
20.0,21.0,89757.0,3
20.0,21.0,98385.0,3
20.0,21.0,24765.7,0
20.0,21.0,78157.9,3
20.0,21.0,86276.1,3
20.0,21.0,31538.4,1
20.0,21.0,99525.1,3
20.0,21.0,56240.7,2
20.0,21.0,15282.9,0
20.0,21.0,76118.2,3
20.0,21.0,19932.9,0
20.0,21.0,71878.8,2
20.0,21.0,52307.3,2
20.0,21.0,7042.7,0
20.0,21.0,35894.6,1
20.0,21.0,87239.9,3
20.0,21.0,4215.0,0
20.0,21.0,51305.5,2
20.0,21.0,31743.7,1
20.0,21.0,55243.1,2
20.0,21.0,5324.2,0
20.0,21.0,12471.3,0
20.0,21.0,91356.3,3
20.0,21.0,88319.6,3
20.0,21.0,5207.3,0
20.0,21.0,28725.4,1
20.0,21.0,62561.7,2
20.0,21.0,4948.3,0
20.0,21.0,83083.6,3
20.0,21.0,65573.7,2
20.0,21.0,67330.7,2
20.0,21.0,25495.5,1
20.0,21.0,28676.3,1
20.0,21.0,45986.8,1
20.0,21.0,94478.1,3
20.0,21.0,49416.3,1
20.0,21.0,46242.9,1
20.0,21.0,53998.4,2
20.0,21.0,26813.1,1
20.0,21.0,31534.2,1
20.0,21.0,61350.3,2
20.0,21.0,80860.5,3
20.0,21.0,77543.8,3
20.0,21.0,56811.6,2
20.0,21.0,20519.7,0
20.0,21.0,95867.9,3
20.0,21.0,64651.1,2
20.0,21.0,76093.1,3
20.0,21.0,78151.0,3
20.0,21.0,66616.7,2
20.0,21.0,93373.0,3
20.0,21.0,74896.4,2
20.0,21.0,65665.3,2
20.0,21.0,6726.6,0
20.0,21.0,24602.3,0
20.0,21.0,72949.2,2
20.0,21.0,97309.4,3
20.0,21.0,19677.0,0
20.0,21.0,15738.8,0
20.0,21.0,32423.6,1
20.0,21.0,3091.3,0
20.0,21.0,44198.3,1
20.0,21.0,61913.3,2
20.0,21.0,26041.9,1
20.0,21.0,6271.1,0
20.0,21.0,46984.0,1
20.0,21.0,96037.3,3
20.0,21.0,27173.6,1
20.0,21.0,8386.6,0
20.0,21.0,78412.0,3
20.0,21.0,15344.7,0
20.0,21.0,58392.0,2
20.0,21.0,61475.1,2
20.0,21.0,91854.9,3
20.0,21.0,92206.5,3
20.0,21.0,37990.7,1
20.0,21.0,83338.3,3
20.0,21.0,72667.6,2
20.0,21.0,33326.0,1
20.0,21.0,56218.2,2
20.0,21.0,53819.9,2
20.0,21.0,28027.6,1
20.0,21.0,99941.6,3
20.0,21.0,48424.7,1
20.0,21.0,6160.6,0
20.0,21.0,6261.7,0
20.0,21.0,46168.4,1
20.0,21.0,90112.9,3
20.0,21.0,49419.5,1
20.0,21.0,52218.4,2
20.0,21.0,79951.3,3
20.0,21.0,18450.6,0
20.0,21.0,71755.8,2
20.0,21.0,12292.8,0
20.0,21.0,84554.2,3
20.0,21.0,24761.4,0
20.0,21.0,4749.1,0
20.0,21.0,27391.7,1
20.0,21.0,10344.9,0
20.0,21.0,3143.7,0
20.0,21.0,11089.4,0
20.0,21.0,70315.7,2
20.0,21.0,55533.8,2
20.0,21.0,51598.6,2
20.0,21.0,99550.4,3
20.0,21.0,58982.4,2
20.0,21.0,64903.6,2
20.0,21.0,31043.5,1
20.0,21.0,98309.7,3
20.0,21.0,2386.0,0
20.0,21.0,96531.4,3
20.0,21.0,58844.8,2
20.0,21.0,8347.7,0
20.0,21.0,94320.7,3
20.0,21.0,88249.1,3
20.0,21.0,86550.0,3
20.0,21.0,21715.7,0
20.0,21.0,94947.7,3
20.0,21.0,29259.6,1
20.0,21.0,20538.0,0
20.0,21.0,38697.6,1
20.0,21.0,54850.3,2
20.0,21.0,17385.2,0
20.0,21.0,53190.8,2
20.0,21.0,45486.8,1
20.0,21.0,46058.4,1
20.0,21.0,82334.1,3
20.0,21.0,83232.4,3
20.0,21.0,69867.3,2
20.0,21.0,52947.5,2
20.0,21.0,74509.1,2
20.0,21.0,13436.0,0
20.0,21.0,97506.9,3
20.0,21.0,50607.8,2
20.0,21.0,14947.2,0
20.0,21.0,59927.2,2
20.0,21.0,6196.2,0
20.0,21.0,38767.1,1
20.0,21.0,75064.4,3
20.0,21.0,73720.1,2
20.0,21.0,22255.1,0
20.0,21.0,34383.6,1
20.0,21.0,48825.0,1
20.0,21.0,23658.4,0
20.0,21.0,41836.4,1
20.0,21.0,10975.6,0
20.0,21.0,76283.9,3
20.0,21.0,17092.4,0
20.0,21.0,51994.2,2
20.0,21.0,3983.9,0
20.0,21.0,14960.3,0
20.0,21.0,3058.4,0
20.0,21.0,78595.4,3
20.0,21.0,94012.8,3
20.0,21.0,58502.6,2
20.0,21.0,78684.3,3
20.0,21.0,25971.1,1
20.0,21.0,81520.0,3
20.0,21.0,12623.2,0
20.0,21.0,26698.1,1
20.0,21.0,14545.3,0
20.0,21.0,98966.8,3
20.0,21.0,38282.3,1
20.0,21.0,94038.2,3
20.0,21.0,68797.6,2
20.0,21.0,59587.8,2
20.0,21.0,56828.0,2
20.0,21.0,76298.3,3
20.0,21.0,89327.5,3
20.0,21.0,10821.9,0
20.0,21.0,24940.0,0
20.0,21.0,92707.6,3
20.0,21.0,87608.2,3
20.0,21.0,11662.3,0
20.0,21.0,3304.3,0
20.0,21.0,9705.3,0
20.0,21.0,59863.2,2
20.0,21.0,11395.3,0
20.0,21.0,95915.2,3
20.0,21.0,61892.2,2
20.0,21.0,88219.9,3
20.0,21.0,66930.0,2
20.0,21.0,68284.8,2
20.0,21.0,69125.7,2
20.0,21.0,22913.6,0
20.0,21.0,22438.5,0
20.0,21.0,28338.7,1
20.0,21.0,90827.1,3
20.0,21.0,30251.7,1
20.0,21.0,42476.0,1
20.0,21.0,74280.1,2
20.0,21.0,6842.7,0
20.0,21.0,5331.3,0
20.0,21.0,15531.4,0
20.0,21.0,43133.8,1
20.0,21.0,62360.6,2
20.0,21.0,32478.3,1
20.0,21.0,45250.7,1
20.0,21.0,75143.6,3
20.0,21.0,1604.8,0
20.0,21.0,25218.6,1
20.0,21.0,3405.6,0
20.0,21.0,33667.7,1
20.0,21.0,23114.5,0
20.0,21.0,97037.6,3
20.0,21.0,36501.1,1
20.0,21.0,21704.2,0
20.0,21.0,1273.1,0
20.0,21.0,18407.7,0
20.0,21.0,55329.2,2
20.0,21.0,13344.0,0
20.0,21.0,92305.9,3
20.0,21.0,4781.2,0
20.0,21.0,86245.4,3
20.0,21.0,97200.0,3
20.0,21.0,65558.5,2
20.0,21.0,79495.5,3
20.0,21.0,69509.0,2
20.0,21.0,22226.2,0
20.0,21.0,53662.0,2
20.0,21.0,87283.3,3
20.0,21.0,71444.2,2
20.0,21.0,86522.6,3
20.0,21.0,84603.4,3
20.0,21.0,17544.6,0
20.0,21.0,26269.3,1
20.0,21.0,90009.2,3
20.0,21.0,67710.0,2
20.0,21.0,1563.4,0
20.0,21.0,48538.2,1
20.0,21.0,33810.6,1
20.0,21.0,54155.0,2
20.0,21.0,89702.6,3
20.0,21.0,76152.8,3
20.0,21.0,38887.5,1
20.0,21.0,83748.9,3
20.0,21.0,18207.6,0
20.0,21.0,8873.2,0
20.0,21.0,74726.0,2
20.0,21.0,43758.1,1
20.0,21.0,35919.7,1
20.0,21.0,81565.5,3
20.0,21.0,7183.8,0
20.0,21.0,1616.6,0
20.0,21.0,77545.0,3
20.0,21.0,82060.1,3
20.0,21.0,28887.4,1
20.0,21.0,79766.0,3
20.0,21.0,47662.6,1
20.0,21.0,71090.2,2
20.0,21.0,38892.9,1
20.0,21.0,38723.2,1
20.0,21.0,30369.6,1
20.0,21.0,12975.4,0
20.0,21.0,82037.9,3
20.0,21.0,89476.1,3
20.0,21.0,91062.7,3
20.0,21.0,28055.6,1
20.0,21.0,81558.3,3
20.0,21.0,49744.6,1
20.0,21.0,46167.5,1
20.0,21.0,93320.7,3
20.0,21.0,69811.1,2
20.0,21.0,92007.8,3
20.0,21.0,75145.9,3
20.0,21.0,55135.3,2
20.0,21.0,1700.9,0
20.0,21.0,36723.5,1
20.0,21.0,98839.4,3
20.0,21.0,20768.9,0
20.0,21.0,26750.9,1
20.0,21.0,93408.3,3
20.0,21.0,12374.1,0
20.0,21.0,72848.9,2
20.0,21.0,38565.2,1
20.0,21.0,65057.3,2
20.0,21.0,11108.7,0
20.0,21.0,46407.1,1
20.0,21.0,80958.7,3
20.0,21.0,28839.5,1
20.0,21.0,29910.1,1
20.0,21.0,92819.0,3
20.0,21.0,3682.7,0
20.0,21.0,60701.3,2
20.0,21.0,22917.2,0
20.0,21.0,7000.1,0
20.0,21.0,40993.1,1
20.0,21.0,28115.6,1
20.0,21.0,85477.2,3
20.0,21.0,4294.0,0
20.0,21.0,93926.0,3
20.0,21.0,16008.6,0
20.0,21.0,71530.1,2
20.0,21.0,89846.8,3
20.0,21.0,22949.9,0
20.0,21.0,17483.3,0
20.0,21.0,83478.3,3
20.0,21.0,62192.3,2
20.0,21.0,20297.1,0
20.0,21.0,12058.8,0
20.0,21.0,26799.5,1
20.0,21.0,77413.0,3
20.0,21.0,76165.4,3
20.0,21.0,61255.0,2
20.0,21.0,58966.8,2
20.0,21.0,80870.7,3
20.0,21.0,36259.9,1
20.0,21.0,70091.3,2
20.0,21.0,99663.0,3
20.0,21.0,87106.4,3
20.0,21.0,96702.3,3
20.0,21.0,85930.8,3
20.0,21.0,84062.3,3
20.0,21.0,13759.3,0
20.0,21.0,50268.3,2
20.0,21.0,6854.4,0
20.0,21.0,88896.3,3
20.0,21.0,56822.2,2
20.0,21.0,11866.2,0
20.0,21.0,83225.9,3
20.0,21.0,45499.6,1
20.0,21.0,26634.9,1
20.0,21.0,19827.7,0
20.0,21.0,10357.4,0
20.0,21.0,33990.8,1
20.0,21.0,91628.6,3
20.0,21.0,13670.0,0
20.0,21.0,37676.1,1
20.0,21.0,14568.5,0
20.0,21.0,51658.3,2
20.0,21.0,49076.8,1
20.0,21.0,78143.1,3
20.0,21.0,74041.6,2
20.0,21.0,48482.9,1
20.0,21.0,61185.3,2
20.0,21.0,70443.4,2
20.0,21.0,18001.7,0
20.0,21.0,72061.0,2
20.0,21.0,14201.9,0
20.0,21.0,49182.0,1
20.0,21.0,83381.7,3
20.0,21.0,27134.8,1
20.0,21.0,18085.5,0
20.0,21.0,15641.5,0
20.0,21.0,41671.8,1
20.0,21.0,71594.0,2
20.0,21.0,65237.9,2
20.0,21.0,57513.3,2
20.0,21.0,4899.8,0
20.0,21.0,28586.7,1
20.0,21.0,36047.7,1
20.0,21.0,98899.2,3
20.0,21.0,54060.5,2
20.0,21.0,45161.0,1
20.0,21.0,12970.9,0
20.0,21.0,87139.2,3
20.0,21.0,44687.8,1
20.0,21.0,14667.8,0
20.0,21.0,52352.2,2
20.0,21.0,72368.7,2
20.0,21.0,39712.6,1
20.0,21.0,53789.5,2
20.0,21.0,25451.5,1
20.0,21.0,94013.3,3
20.0,21.0,39907.1,1
20.0,21.0,64997.0,2
20.0,21.0,13590.8,0
20.0,21.0,55307.8,2
20.0,21.0,65103.4,2
20.0,21.0,84694.2,3
20.0,21.0,85552.8,3
20.0,21.0,41891.4,1
20.0,21.0,3076.2,0
20.0,21.0,12476.4,0
20.0,21.0,22678.2,0
20.0,21.0,93467.5,3
20.0,21.0,13369.1,0
20.0,21.0,97966.2,3
20.0,21.0,56027.2,2
20.0,21.0,65330.6,2
20.0,21.0,72750.6,2
20.0,21.0,9368.8,0
20.0,21.0,62741.4,2
20.0,21.0,72988.8,2
20.0,21.0,99920.8,3
20.0,21.0,94648.9,3
20.0,21.0,5746.3,0
20.0,21.0,65764.4,2
20.0,21.0,40507.8,1
20.0,21.0,55997.9,2
20.0,21.0,99820.5,3
20.0,21.0,59178.2,2
