Region,Office,Revenue,Segment
10.0,11.0,93647.7,3
10.0,11.0,43123.2,1
10.0,11.0,55310.7,2
10.0,11.0,84283.1,3
10.0,11.0,86197.4,3
10.0,11.0,74378.6,2
10.0,11.0,13067.2,0
10.0,11.0,69869.4,2
10.0,11.0,23572.6,0
10.0,11.0,47292.8,1
10.0,11.0,82439.0,3
10.0,11.0,44843.0,1
10.0,11.0,77782.7,3
10.0,11.0,32315.3,1
10.0,11.0,76448.8,3
10.0,11.0,9732.3,0
10.0,11.0,40882.6,1
10.0,11.0,85255.2,3
10.0,11.0,95942.9,3
10.0,11.0,35308.9,1
10.0,11.0,36534.6,1
10.0,11.0,44913.7,1
10.0,11.0,30724.7,1
10.0,11.0,45846.9,1
10.0,11.0,12646.0,0
10.0,11.0,53746.3,2
10.0,11.0,15625.9,0
10.0,11.0,48094.6,1
10.0,11.0,8318.4,0
10.0,11.0,46012.8,1
10.0,11.0,91388.8,3
10.0,11.0,31118.1,1
10.0,11.0,10587.1,0
10.0,11.0,51176.7,2
10.0,11.0,82317.0,3
10.0,11.0,20664.7,0
10.0,11.0,20971.0,0
10.0,11.0,59685.0,2
10.0,11.0,4804.2,0
10.0,11.0,14431.4,0
10.0,11.0,14692.7,0
10.0,11.0,25360.7,1
10.0,11.0,74470.7,2
10.0,11.0,94681.0,3
10.0,11.0,11805.4,0
10.0,11.0,42005.8,1
10.0,11.0,60401.6,2
10.0,11.0,68961.2,2
10.0,11.0,80642.1,3
10.0,11.0,45983.4,1
10.0,11.0,27370.3,1
10.0,11.0,16852.1,0
10.0,11.0,52121.2,2
10.0,11.0,96983.9,3
10.0,11.0,92686.0,3
10.0,11.0,58603.4,2
10.0,11.0,53782.8,2
10.0,11.0,13753.3,0
10.0,11.0,54266.6,2
10.0,11.0,33634.2,1
10.0,11.0,21917.8,0
10.0,11.0,97696.4,3
10.0,11.0,41665.3,1
10.0,11.0,93732.2,3
10.0,11.0,8422.7,0
10.0,11.0,1774.1,0
10.0,11.0,98291.9,3
10.0,11.0,84522.7,3
10.0,11.0,63868.5,2
10.0,11.0,67823.6,2
10.0,11.0,1757.1,0
10.0,11.0,33877.5,1
10.0,11.0,20440.1,0
10.0,11.0,33359.1,1
10.0,11.0,87320.9,3
10.0,11.0,80915.3,3
10.0,11.0,74704.5,2
10.0,11.0,33966.3,1
10.0,11.0,93025.1,3
10.0,11.0,67298.7,2
10.0,11.0,7168.3,0
10.0,11.0,87281.3,3
10.0,11.0,86587.5,3
10.0,11.0,47816.3,1
10.0,11.0,42019.4,1
10.0,11.0,16026.1,0
10.0,11.0,59009.9,2
10.0,11.0,91993.1,3
10.0,11.0,7635.6,0
10.0,11.0,83244.8,3
10.0,11.0,60458.4,2
10.0,11.0,66052.8,2
10.0,11.0,2367.0,0
10.0,11.0,82041.9,3
10.0,11.0,58745.5,2
10.0,11.0,84950.8,3
10.0,11.0,64633.4,2
10.0,11.0,73031.5,2
10.0,11.0,77559.0,3
10.0,11.0,84804.9,3
10.0,11.0,87710.6,3
10.0,11.0,14596.1,0
10.0,11.0,10823.2,0
